name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_Sort_string_Descending_262144",11010048,64.4659,64.466,ns,,,,,
"BM_Sort_string_SingleElement_1",218103808,3.21964,3.21512,ns,,,,,
"BM_Sort_string_SingleElement_4",116916224,5.82738,5.82603,ns,,,,,
"BM_Sort_string_SingleElement_16",61079552,11.1325,11.1316,ns,,,,,
"BM_Sort_string_SingleElement_64",56360960,12.4583,12.4579,ns,,,,,
"BM_Sort_string_SingleElement_256",74973184,9.33387,9.33274,ns,,,,,
"BM_Sort_string_SingleElement_1024",83099648,8.43071,8.4301,ns,,,,,
"BM_Sort_string_SingleElement_16384",84410368,8.27195,8.26623,ns,,,,,
"BM_Sort_string_SingleElement_262144",77594624,9.0027,8.99953,ns,,,,,
"BM_Sort_string_PipeOrgan_1",218890240,3.21287,3.20789,ns,,,,,
"BM_Sort_string_PipeOrgan_4",89915392,7.50673,7.50508,ns,,,,,
"BM_Sort_string_PipeOrgan_16",31719424,22.262,22.2618,ns,,,,,
"BM_Sort_string_PipeOrgan_64",22806528,30.8872,30.8866,ns,,,,,
"BM_Sort_string_PipeOrgan_256",17825792,38.7045,38.7041,ns,,,,,
"BM_Sort_string_PipeOrgan_1024",14155776,49.7481,49.7478,ns,,,,,
"BM_Sort_string_PipeOrgan_16384",11534336,60.3781,60.3769,ns,,,,,
"BM_Sort_string_PipeOrgan_262144",6291456,112.919,112.918,ns,,,,,
"BM_BitsetSort_uint32_Random_1",161742848,4.29875,4.29698,ns,,,,,
"BM_BitsetSort_uint32_Random_4",446955520,1.53895,1.53897,ns,,,,,
"BM_BitsetSort_uint32_Random_16",248512512,2.7955,2.79556,ns,,,,,
"BM_BitsetSort_uint32_Random_64",107479040,6.5265,6.52538,ns,,,,,
"BM_BitsetSort_uint32_Random_256",79691776,8.83278,8.83256,ns,,,,,
"BM_BitsetSort_uint32_Random_1024",68157440,10.3329,10.333,ns,,,,,
"BM_BitsetSort_uint32_Random_16384",55312384,12.7091,12.7094,ns,,,,,
"BM_BitsetSort_uint32_Random_262144",46399488,15.0648,15.0647,ns,,,,,
"BM_BitsetSort_uint32_Ascending_1",162529280,4.30008,4.29849,ns,,,,,
"BM_BitsetSort_uint32_Ascending_4",448004096,1.54375,1.54374,ns,,,,,
"BM_BitsetSort_uint32_Ascending_16",247463936,2.82967,2.82972,ns,,,,,
"BM_BitsetSort_uint32_Ascending_64",666632192,1.05004,1.05007,ns,,,,,
"BM_BitsetSort_uint32_Ascending_256",608960512,1.15167,1.1517,ns,,,,,
"BM_BitsetSort_uint32_Ascending_1024",698351616,1.00298,1.00302,ns,,,,,
"BM_BitsetSort_uint32_Ascending_16384",736886784,0.95209,0.952117,ns,,,,,
"BM_BitsetSort_uint32_Ascending_262144",715915264,0.979833,0.979121,ns,,,,,
"BM_BitsetSort_uint32_Descending_1",162529280,4.30487,4.30334,ns,,,,,
"BM_BitsetSort_uint32_Descending_4",447479808,1.55026,1.55026,ns,,,,,
"BM_BitsetSort_uint32_Descending_16",251133952,2.78182,2.78188,ns,,,,,
"BM_BitsetSort_uint32_Descending_64",148373504,4.72593,4.72605,ns,,,,,
"BM_BitsetSort_uint32_Descending_256",363069440,1.9129,1.9129,ns,,,,,
"BM_BitsetSort_uint32_Descending_1024",369885184,1.89067,1.89071,ns,,,,,
"BM_BitsetSort_uint32_Descending_16384",401866752,1.7416,1.74173,ns,,,,,
"BM_BitsetSort_uint32_Descending_262144",401080320,1.74649,1.74586,ns,,,,,
"BM_BitsetSort_uint32_SingleElement_1",162791424,4.30202,4.30049,ns,,,,,
"BM_BitsetSort_uint32_SingleElement_4",450101248,1.53831,1.53831,ns,,,,,
"BM_BitsetSort_uint32_SingleElement_16",250871808,2.78652,2.78659,ns,,,,,
"BM_BitsetSort_uint32_SingleElement_64",594018304,1.19301,1.19305,ns,,,,,
"BM_BitsetSort_uint32_SingleElement_256",685768704,1.02193,1.02199,ns,,,,,
"BM_BitsetSort_uint32_SingleElement_1024",751304704,0.931237,0.93126,ns,,,,,
"BM_BitsetSort_uint32_SingleElement_16384",778305536,0.900406,0.900436,ns,,,,,
"BM_BitsetSort_uint32_SingleElement_262144",752353280,0.931856,0.931208,ns,,,,,
"BM_BitsetSort_uint32_PipeOrgan_1",162791424,4.29734,4.29574,ns,,,,,
"BM_BitsetSort_uint32_PipeOrgan_4",446693376,1.54722,1.54722,ns,,,,,
"BM_BitsetSort_uint32_PipeOrgan_16",247463936,2.83005,2.83015,ns,,,,,
"BM_BitsetSort_uint32_PipeOrgan_64",229900288,3.04748,3.04759,ns,,,,,
"BM_BitsetSort_uint32_PipeOrgan_256",296747008,2.35569,2.35576,ns,,,,,
"BM_BitsetSort_uint32_PipeOrgan_1024",158072832,4.44212,4.44222,ns,,,,,
"BM_BitsetSort_uint32_PipeOrgan_16384",134217728,5.22197,5.22211,ns,,,,,
"BM_BitsetSort_uint32_PipeOrgan_262144",118751232,5.90157,5.90103,ns,,,,,
"BM_BitsetSort_uint64_Random_1",152305664,4.5815,4.57985,ns,,,,,
"BM_BitsetSort_uint64_Random_4",443547648,1.575,1.57499,ns,,,,,
"BM_BitsetSort_uint64_Random_16",238288896,2.91234,2.9124,ns,,,,,
"BM_BitsetSort_uint64_Random_64",105644032,6.63624,6.63495,ns,,,,,
"BM_BitsetSort_uint64_Random_256",78118912,8.98221,8.98181,ns,,,,,
"BM_BitsetSort_uint64_Random_1024",68157440,10.2985,10.2986,ns,,,,,
"BM_BitsetSort_uint64_Random_16384",55574528,12.5954,12.5957,ns,,,,,
"BM_BitsetSort_uint64_Random_262144",46923776,14.9335,14.9332,ns,,,,,
"BM_BitsetSort_uint64_Ascending_1",153092096,4.57758,4.57595,ns,,,,,
"BM_BitsetSort_uint64_Ascending_4",446431232,1.56789,1.5679,ns,,,,,
"BM_BitsetSort_uint64_Ascending_16",235143168,2.97693,2.977,ns,,,,,
"BM_BitsetSort_uint64_Ascending_64",629932032,1.1105,1.11051,ns,,,,,
"BM_BitsetSort_uint64_Ascending_256",601620480,1.16717,1.16721,ns,,,,,
"BM_BitsetSort_uint64_Ascending_1024",692322304,1.01092,1.01092,ns,,,,,
"BM_BitsetSort_uint64_Ascending_16384",735051776,0.953,0.953016,ns,,,,,
"BM_BitsetSort_uint64_Ascending_262144",665321472,1.05152,1.0509,ns,,,,,
"BM_BitsetSort_uint64_Descending_1",152567808,4.58564,4.58256,ns,,,,,
"BM_BitsetSort_uint64_Descending_4",450101248,1.56759,1.56756,ns,,,,,
"BM_BitsetSort_uint64_Descending_16",237502464,2.95014,2.95021,ns,,,,,
"BM_BitsetSort_uint64_Descending_64",147849216,4.74845,4.74858,ns,,,,,
"BM_BitsetSort_uint64_Descending_256",349437952,2.00617,2.00625,ns,,,,,
"BM_BitsetSort_uint64_Descending_1024",375390208,1.86985,1.86987,ns,,,,,
"BM_BitsetSort_uint64_Descending_16384",407371776,1.72226,1.72229,ns,,,,,
"BM_BitsetSort_uint64_Descending_262144",394788864,1.77239,1.77183,ns,,,,,
"BM_BitsetSort_uint64_SingleElement_1",152043520,4.60706,4.60341,ns,,,,,
"BM_BitsetSort_uint64_SingleElement_4",446955520,1.55923,1.55924,ns,,,,,
"BM_BitsetSort_uint64_SingleElement_16",237240320,2.9574,2.95747,ns,,,,,
"BM_BitsetSort_uint64_SingleElement_64",462946304,1.51273,1.51279,ns,,,,,
"BM_BitsetSort_uint64_SingleElement_256",543424512,1.31094,1.31102,ns,,,,,
"BM_BitsetSort_uint64_SingleElement_1024",564920320,1.23817,1.23822,ns,,,,,
"BM_BitsetSort_uint64_SingleElement_16384",577503232,1.21097,1.21103,ns,,,,,
"BM_BitsetSort_uint64_SingleElement_262144",543686656,1.29031,1.28968,ns,,,,,
"BM_BitsetSort_uint64_PipeOrgan_1",150994944,4.64718,4.64572,ns,,,,,
"BM_BitsetSort_uint64_PipeOrgan_4",444858368,1.56411,1.56409,ns,,,,,
"BM_BitsetSort_uint64_PipeOrgan_16",237764608,2.98203,2.98213,ns,,,,,
"BM_BitsetSort_uint64_PipeOrgan_64",235143168,2.97612,2.9762,ns,,,,,
"BM_BitsetSort_uint64_PipeOrgan_256",284426240,2.4604,2.46045,ns,,,,,
"BM_BitsetSort_uint64_PipeOrgan_1024",155451392,4.49835,4.49846,ns,,,,,
"BM_BitsetSort_uint64_PipeOrgan_16384",133169152,5.26797,5.26812,ns,,,,,
"BM_BitsetSort_uint64_PipeOrgan_262144",117178368,5.98032,5.98002,ns,,,,,
"BM_BitsetSort_pair<uint32, uint32>_Random_1",160694272,4.35631,4.35485,ns,,,,,
"BM_BitsetSort_pair<uint32, uint32>_Random_4",128188416,5.48886,5.48895,ns,,,,,
"BM_BitsetSort_pair<uint32, uint32>_Random_16",57409536,12.101,12.1013,ns,,,,,
"BM_BitsetSort_pair<uint32, uint32>_Random_64",35389440,19.8714,19.8668,ns,,,,,
"BM_BitsetSort_pair<uint32, uint32>_Random_256",30146560,23.1971,23.1958,ns,,,,,
"BM_BitsetSort_pair<uint32, uint32>_Random_1024",28049408,25.1125,25.1125,ns,,,,,
"BM_BitsetSort_pair<uint32, uint32>_Random_16384",24903680,28.2601,28.2604,ns,,,,,
"BM_BitsetSort_pair<uint32, uint32>_Random_262144",22544384,31.3424,31.3424,ns,,,,,
"BM_BitsetSort_pair<uint32, uint32>_Ascending_1",160694272,4.36377,4.36232,ns,,,,,
"BM_BitsetSort_pair<uint32, uint32>_Ascending_4",376963072,1.84717,1.84712,ns,,,,,
"BM_BitsetSort_pair<uint32, uint32>_Ascending_16",121896960,5.75702,5.75715,ns,,,,,
"BM_BitsetSort_pair<uint32, uint32>_Ascending_64",379322368,1.83907,1.8391,ns,,,,,
"BM_BitsetSort_pair<uint32, uint32>_Ascending_256",390070272,1.86738,1.86742,ns,,,,,
"BM_BitsetSort_pair<uint32, uint32>_Ascending_1024",402128896,1.74145,1.7415,ns,,,,,
"BM_BitsetSort_pair<uint32, uint32>_Ascending_16384",416546816,1.68255,1.68258,ns,,,,,
"BM_BitsetSort_pair<uint32, uint32>_Ascending_262144",414711808,1.68607,1.68607,ns,,,,,
"BM_BitsetSort_pair<uint32, uint32>_Descending_1",159645696,4.35285,4.35118,ns,,,,,
"BM_BitsetSort_pair<uint32, uint32>_Descending_4",346030080,2.00323,2.00325,ns,,,,,
"BM_BitsetSort_pair<uint32, uint32>_Descending_16",113508352,6.16237,6.16251,ns,,,,,
"BM_BitsetSort_pair<uint32, uint32>_Descending_64",91750400,7.69533,7.6955,ns,,,,,
"BM_BitsetSort_pair<uint32, uint32>_Descending_256",216793088,3.24442,3.24449,ns,,,,,
"BM_BitsetSort_pair<uint32, uint32>_Descending_1024",239075328,2.9309,2.93097,ns,,,,,
"BM_BitsetSort_pair<uint32, uint32>_Descending_16384",249823232,2.80054,2.80061,ns,,,,,
"BM_BitsetSort_pair<uint32, uint32>_Descending_262144",249823232,2.79993,2.79998,ns,,,,,
"BM_BitsetSort_pair<uint32, uint32>_SingleElement_1",161218560,4.35279,4.35129,ns,,,,,
